year,age,sex,people
2000,0,1,37648694
2000,0,2,31329680
2000,5,1,48303208
2000,5,2,41849379
2000,10,1,65344739
2000,10,2,60051894
2000,15,1,52878170
2000,15,2,50152995
2000,20,1,47937766
2000,20,2,46635408
2000,25,1,60230758
2000,25,2,57371507
2000,30,1,65360456
2000,30,2,61953842
2000,35,1,56141391
2000,35,2,53005904
2000,40,1,42243187
2000,40,2,28999758
2000,45,1,43939603
2000,45,2,41581442
2000,50,1,32804125
2000,50,2,30500075
2000,55,1,24061506
2000,55,2,22308669
2000,60,1,21674478
2000,60,2,20029370
2000,65,1,17549348
2000,65,2,17231112
2000,70,1,12436154
2000,70,2,13137995
2000,75,1,7175811
2000,75,2,8752519
2000,80,1,3203868
2000,80,2,4785290
2000,85,1,1056941
2000,85,2,1973757
2000,90,1,229758
2000,90,2,553836

